match_id,commence_time,team,opponent,win,draw,loss,team_g,opponent_g,total_goals
80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,Mexico,South Africa,1,0,0,2,0,2
80d82d1113934bfbea4ce8daf37a2433,2026-06-11T19:00:00Z,South Africa,Mexico,0,0,1,0,2,2
384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,Czechia,South Korea,0,0,1,1,2,3
384cbb5d76b535896a24fe65f93cfac8,2026-06-12T02:00:00Z,South Korea,Czechia,1,0,0,2,1,3
d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:02:00Z,Bosnia & Herzegovina,Canada,0,1,0,1,1,2
d1f4f946c70a0b4e81f5d43e9d32361c,2026-06-12T19:02:00Z,Canada,Bosnia & Herzegovina,0,1,0,1,1,2
c12986f447a515fbe641addd786dbb24,2026-06-13T01:02:00Z,Paraguay,USA,0,0,1,1,4,5
c12986f447a515fbe641addd786dbb24,2026-06-13T01:02:00Z,USA,Paraguay,1,0,0,4,1,5
26634922d3f78c146440816023e40de8,2026-06-13T19:04:00Z,Qatar,Switzerland,0,1,0,1,1,2
26634922d3f78c146440816023e40de8,2026-06-13T19:04:00Z,Switzerland,Qatar,0,1,0,1,1,2
f6c8748a16516e0998f95de14235432a,2026-06-13T22:04:00Z,Brazil,Morocco,0,1,0,1,1,2
f6c8748a16516e0998f95de14235432a,2026-06-13T22:04:00Z,Morocco,Brazil,0,1,0,1,1,2
5ae41a06735c926eeb7f74006933adce,2026-06-14T01:00:00Z,Haiti,Scotland,0,0,1,0,1,1
5ae41a06735c926eeb7f74006933adce,2026-06-14T01:00:00Z,Scotland,Haiti,1,0,0,1,0,1
564084f52cc9f1abcc18187c168a7cdc,2026-06-14T04:00:00Z,Australia,Türkiye,1,0,0,2,0,2
564084f52cc9f1abcc18187c168a7cdc,2026-06-14T04:00:00Z,Türkiye,Australia,0,0,1,0,2,2
d79edbd6aaeb578d33e313446b18d333,2026-06-14T17:01:00Z,Curaçao,Germany,0,0,1,1,7,8
d79edbd6aaeb578d33e313446b18d333,2026-06-14T17:01:00Z,Germany,Curaçao,1,0,0,7,1,8
32ec06abda2398ac41501c86eb9aa376,2026-06-14T20:00:00Z,Japan,Netherlands,0,1,0,2,2,4
32ec06abda2398ac41501c86eb9aa376,2026-06-14T20:00:00Z,Netherlands,Japan,0,1,0,2,2,4
05752bb341e197001387b64f3a06b9b2,2026-06-14T23:03:00Z,Ecuador,Ivory Coast,0,0,1,0,1,1
05752bb341e197001387b64f3a06b9b2,2026-06-14T23:03:00Z,Ivory Coast,Ecuador,1,0,0,1,0,1
b55f9569de3f4d731bc5537ff5ff43e4,2026-06-15T02:00:00Z,Sweden,Tunisia,1,0,0,5,1,6
b55f9569de3f4d731bc5537ff5ff43e4,2026-06-15T02:00:00Z,Tunisia,Sweden,0,0,1,1,5,6
